2019-11-23 11:25:12.652 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 38.1132 ms
2019-11-23 11:25:12.665 +02:00 [INF] HTTP GET /notification?id=y6l__R8f8PUqNpj6N0RmdQ responded 101 in 68363.4938 ms
2019-11-23 11:25:12.809 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5468 ms
2019-11-23 11:25:13.139 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.6276 ms
2019-11-23 11:25:13.164 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 4.3853 ms
2019-11-23 11:25:15.006 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 16.2057 ms
2019-11-23 11:25:15.021 +02:00 [INF] HTTP GET /notification?id=1dDh7ntMPx_2PulxJG1mRw responded 101 in 188865.9922 ms
2019-11-23 11:25:15.145 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.61 ms
2019-11-23 11:25:15.430 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3529 ms
2019-11-23 11:25:15.437 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.2552 ms
2019-11-23 11:25:16.219 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=b4062863-bc53-41d0-970c-5b7c005882fc responded 200 in 7.3458 ms
2019-11-23 11:25:19.016 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 31.4201 ms
2019-11-23 11:25:19.047 +02:00 [INF] HTTP GET /notification?id=7gv1MfIbP-nM0FhncD_l-w responded 101 in 6092.4484 ms
2019-11-23 11:25:19.395 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5132 ms
2019-11-23 11:25:19.515 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.7061 ms
2019-11-23 11:25:19.531 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.753 ms
2019-11-23 11:25:28.088 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=b4062863-bc53-41d0-970c-5b7c005882fc responded 200 in 5.5756 ms
2019-11-23 11:26:27.923 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 44.5824 ms
2019-11-23 11:26:27.933 +02:00 [INF] HTTP GET /notification?id=f4h2eLKBHy8HQacE-Z1rWA responded 101 in 72610.6869 ms
2019-11-23 11:26:28.091 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6794 ms
2019-11-23 11:26:28.412 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.5464 ms
2019-11-23 11:26:28.428 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.069 ms
2019-11-23 11:26:30.280 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=b4062863-bc53-41d0-970c-5b7c005882fc responded 200 in 13.4095 ms
2019-11-23 11:26:49.403 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=b4062863-bc53-41d0-970c-5b7c005882fc responded 200 in 9.9886 ms
2019-11-23 11:27:18.915 +02:00 [INF] HTTP GET /Manager/Register responded 200 in 68.4223 ms
2019-11-23 11:27:18.924 +02:00 [INF] HTTP GET /notification?id=bWRJruHyuRgzRebespYjqQ responded 101 in 50584.1142 ms
2019-11-23 11:27:19.429 +02:00 [INF] HTTP GET /Manager/images/icons/favicon.ico responded 302 in 7.0992 ms
2019-11-23 11:27:19.439 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.346 ms
2019-11-23 11:27:26.811 +02:00 [INF] HTTP GET / responded 302 in 1.5321 ms
2019-11-23 11:27:26.847 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 26.986 ms
2019-11-23 11:27:27.019 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.1935 ms
2019-11-23 11:27:27.276 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.6081 ms
2019-11-23 11:27:27.283 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.2434 ms
2019-11-23 11:27:40.137 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=b4062863-bc53-41d0-970c-5b7c005882fc responded 200 in 16.201 ms
2019-11-23 11:27:41.676 +02:00 [INF] Status of email with id b4062863-bc53-41d0-970c-5b7c005882fc has been updated by ac754604-35d3-4095-ae8b-f5dfd138f598 at 23.11.2019 г. 11:27:41. From status: NotReviewed to status: InvalidApplication.
2019-11-23 11:27:41.735 +02:00 [INF] HTTP GET /Email/ChangeStatusAsync?id=b4062863-bc53-41d0-970c-5b7c005882fc&status=InvalidApplication responded 200 in 104.6628 ms
2019-11-23 11:29:22.845 +02:00 [INF] HTTP GET /Manager/Register responded 200 in 7.6959 ms
2019-11-23 11:29:22.861 +02:00 [INF] HTTP GET /notification?id=FX38r9u0P96TrmRF8bBL5A responded 101 in 115665.558 ms
2019-11-23 11:29:23.328 +02:00 [INF] HTTP GET /Manager/images/icons/favicon.ico responded 302 in 0.3299 ms
2019-11-23 11:29:23.338 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.2016 ms
2019-11-23 11:29:36.010 +02:00 [INF] HTTP POST /Manager/CheckForUserAndEmailAsync responded 200 in 79.1536 ms
2019-11-23 11:29:36.190 +02:00 [INF] HTTP POST /Manager/RegisterUserAsync responded 200 in 161.3755 ms
2019-11-23 11:29:41.427 +02:00 [INF] User logged out.
2019-11-23 11:29:41.432 +02:00 [INF] HTTP POST /Identity/Account/Logout?returnUrl=%2F responded 302 in 60.5195 ms
2019-11-23 11:29:41.443 +02:00 [INF] HTTP GET / responded 200 in 1.4323 ms
2019-11-23 11:29:53.049 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 94.4105 ms
2019-11-23 11:30:19.113 +02:00 [INF] HTTP POST /Home/SetNewPasswordAsync responded 200 in 71.6293 ms
2019-11-23 11:30:23.500 +02:00 [INF] HTTP POST /Home/SetNewPasswordAsync responded 200 in 51.9892 ms
2019-11-23 11:30:23.563 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 29.7717 ms
2019-11-23 11:30:23.931 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.945 ms
2019-11-23 11:30:24.121 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 1.2908 ms
2019-11-23 11:30:24.149 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.5836 ms
2019-11-23 11:39:03.541 +02:00 [INF] HTTP GET /notification?id=cZYWcBzT6utBuRXAGL9rqg responded 101 in 519575.6852 ms
2019-11-23 11:39:42.540 +02:00 [INF] HTTP GET /notification?id=w7pyaomtjOA8CgMUVcI2kA responded 101 in 863088.6882 ms
2019-11-23 11:40:07.117 +02:00 [INF] Application starting up!
2019-11-23 11:40:31.345 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-23 11:40:39.495 +02:00 [INF] HTTP GET / responded 200 in 8060.9839 ms
2019-11-23 11:50:02.901 +02:00 [INF] Application starting up!
2019-11-23 11:50:29.803 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-23 11:50:31.619 +02:00 [INF] HTTP GET / responded 200 in 1769.1909 ms
2019-11-23 11:55:40.928 +02:00 [INF] Application starting up!
2019-11-23 11:55:44.927 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-23 11:55:45.263 +02:00 [INF] HTTP GET / responded 302 in 294.4967 ms
2019-11-23 11:55:45.851 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 544.1036 ms
2019-11-23 11:55:46.501 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 41.582 ms
2019-11-23 11:55:46.677 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 7.3064 ms
2019-11-23 11:55:46.748 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 29.0624 ms
2019-11-23 11:56:39.895 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 45.7193 ms
2019-11-23 11:56:40.043 +02:00 [INF] HTTP GET /notification?id=2fcvDm3S2YGfjncUiazrbA responded 101 in 53506.5333 ms
2019-11-23 11:56:40.374 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.8888 ms
2019-11-23 11:56:40.527 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 1.33 ms
2019-11-23 11:56:40.554 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 4.4604 ms
2019-11-23 11:58:29.792 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 314.4987 ms
2019-11-23 11:58:29.804 +02:00 [INF] HTTP GET /notification?id=sVMGvuGqtH5YgpUWfnxlJA responded 101 in 109389.6519 ms
2019-11-23 11:58:30.101 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4787 ms
2019-11-23 11:58:30.503 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 11.1899 ms
2019-11-23 11:58:30.518 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.1202 ms
2019-11-23 11:58:31.534 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 158.8237 ms
2019-11-23 11:58:31.540 +02:00 [INF] HTTP GET /notification?id=Fqqd-XYqq9SJ9zlwrRisPQ responded 101 in 1409.6114 ms
2019-11-23 11:58:31.869 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5165 ms
2019-11-23 11:58:32.011 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.4789 ms
2019-11-23 11:58:32.020 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.2486 ms
2019-11-23 11:58:33.507 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=421d86c3-4909-4634-8670-4a7f3b8073e8 responded 200 in 45.91 ms
2019-11-23 11:58:52.190 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=421d86c3-4909-4634-8670-4a7f3b8073e8 responded 200 in 37.7236 ms
2019-11-23 12:10:05.115 +02:00 [ERR] Error occurred while trying to get emails for page 0 and status now at 23.11.2019 г. 12:10:05.
2019-11-23 12:10:05.120 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=now responded 302 in 153.9739 ms
2019-11-23 12:10:05.131 +02:00 [INF] HTTP GET /Home/BadRequest responded 302 in 0.3556 ms
2019-11-23 12:10:05.143 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.4783 ms
2019-11-23 12:10:05.158 +02:00 [INF] HTTP GET /notification?id=GFzrpsVIRp13Qi9oulBTVQ responded 101 in 693258.1341 ms
2019-11-23 12:10:05.661 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.5037 ms
2019-11-23 12:10:05.678 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 3.1114 ms
2019-11-23 12:10:10.302 +02:00 [INF] HTTP GET /Home/hfhfghgh responded 302 in 0.4185 ms
2019-11-23 12:10:10.329 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.3635 ms
2019-11-23 12:10:10.646 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 1.3127 ms
2019-11-23 12:10:10.666 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.5734 ms
2019-11-23 12:25:10.616 +02:00 [INF] HTTP POST /Home/LogOutAsync responded 200 in 33.3476 ms
2019-11-23 12:25:10.696 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 4.0786 ms
2019-11-23 12:25:11.085 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.3015 ms
2019-11-23 12:25:11.111 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.5828 ms
2019-11-23 12:44:10.928 +02:00 [INF] HTTP POST /Home/LogOutAsync responded 200 in 1.9309 ms
2019-11-23 12:44:10.987 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 9.8569 ms
2019-11-23 12:44:11.407 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.3737 ms
2019-11-23 12:44:11.435 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.8443 ms
2019-11-23 17:45:55.122 +02:00 [INF] Application starting up!
2019-11-23 17:45:57.293 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-23 17:45:57.721 +02:00 [INF] HTTP GET / responded 200 in 378.6251 ms
2019-11-23 17:46:04.799 +02:00 [INF] HTTP POST /Home/CheckForUserNameAndPassowrdAsync responded 200 in 448.2704 ms
2019-11-23 17:46:05.122 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 300.7169 ms
2019-11-23 17:46:05.774 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 28.7957 ms
2019-11-23 17:46:05.916 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.4753 ms
2019-11-23 17:46:05.938 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 14.5924 ms
2019-11-23 17:46:08.966 +02:00 [INF] HTTP GET / responded 302 in 1.883 ms
2019-11-23 17:46:09.344 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 28.2301 ms
2019-11-23 17:46:09.809 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.9644 ms
