2019-11-25 15:05:37.073 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=d2f2f145-678a-428e-9a4a-fdb4babcaf65 responded 200 in 11.1691 ms
2019-11-25 15:06:46.871 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=d2f2f145-678a-428e-9a4a-fdb4babcaf65 responded 200 in 8.8396 ms
2019-11-25 15:08:51.270 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=d2f2f145-678a-428e-9a4a-fdb4babcaf65 responded 200 in 20.7955 ms
2019-11-25 15:09:04.855 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 54.8016 ms
2019-11-25 15:09:04.873 +02:00 [INF] HTTP GET /notification?id=Flji8i2qfTnaZRwRSHcN8w responded 101 in 215551.3908 ms
2019-11-25 15:09:05.461 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5672 ms
2019-11-25 15:09:05.722 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 1.2675 ms
2019-11-25 15:09:05.750 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 2.6867 ms
2019-11-25 15:09:13.532 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 25.8758 ms
2019-11-25 15:09:13.550 +02:00 [INF] HTTP GET /notification?id=KYG9RniblVo2Zj3rL5Lcgw responded 101 in 8070.9568 ms
2019-11-25 15:09:13.704 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 1.0728 ms
2019-11-25 15:09:14.046 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.7538 ms
2019-11-25 15:09:14.067 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.8249 ms
2019-11-25 15:09:14.879 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=240fe2c6-2e72-440a-b0ad-e7ead8917716 responded 200 in 23.5274 ms
2019-11-25 15:09:16.694 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=240fe2c6-2e72-440a-b0ad-e7ead8917716 responded 200 in 4.5786 ms
2019-11-25 15:10:04.585 +02:00 [INF] HTTP GET / responded 302 in 1.1118 ms
2019-11-25 15:10:04.614 +02:00 [INF] HTTP GET /Home/Privacy responded 200 in 18.8596 ms
2019-11-25 15:10:04.626 +02:00 [INF] HTTP GET /notification?id=No_iK7D7NYOIGmkzhCB2bA responded 101 in 50757.1593 ms
2019-11-25 15:10:04.937 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.8953 ms
2019-11-25 15:10:05.080 +02:00 [INF] HTTP GET /Home/images/icons/favicon.ico responded 302 in 0.8563 ms
2019-11-25 15:10:05.101 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.0514 ms
2019-11-25 15:10:28.403 +02:00 [INF] HTTP GET /notification?id=J_tKjCZ4undBQe4SgDyr9Q responded 101 in 23412.4047 ms
2019-11-25 15:10:28.445 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=NotReviewed responded 200 in 103.8301 ms
2019-11-25 15:10:28.755 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.6075 ms
2019-11-25 15:10:28.992 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.3136 ms
2019-11-25 15:10:29.001 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 0.7728 ms
2019-11-25 15:10:34.856 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 51.2911 ms
2019-11-25 15:10:42.162 +02:00 [INF] Status of email with id 35f43ced-3818-4c5e-bde7-ac4203159861 has been updated by d3bcd816-cf83-4740-acfe-51a6d2d944c6 at 25.11.2019 г. 15:10:42. From status: NotReviewed to status: New.
2019-11-25 15:10:42.171 +02:00 [INF] HTTP GET /Email/ChangeStatusAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861&status=New responded 200 in 50.2665 ms
2019-11-25 15:10:42.245 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=New responded 200 in 45.3831 ms
2019-11-25 15:10:42.260 +02:00 [INF] HTTP GET /notification?id=NIfDo_-jyuwNmqUamaNQPA responded 101 in 13474.542 ms
2019-11-25 15:10:42.525 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.5339 ms
2019-11-25 15:10:42.700 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.7768 ms
2019-11-25 15:10:42.724 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.5804 ms
2019-11-25 15:10:44.069 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 40.9054 ms
2019-11-25 15:11:02.898 +02:00 [INF] HTTP POST /Application/CreateAsync responded 200 in 50.2223 ms
2019-11-25 15:11:02.936 +02:00 [INF] Status of email with id 35f43ced-3818-4c5e-bde7-ac4203159861 has been updated by d3bcd816-cf83-4740-acfe-51a6d2d944c6 at 25.11.2019 г. 15:11:02. From status: New to status: Open.
2019-11-25 15:11:02.947 +02:00 [INF] HTTP GET /Email/ChangeStatusAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861&status=Open responded 200 in 35.2833 ms
2019-11-25 15:11:03.001 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Open responded 200 in 29.9216 ms
2019-11-25 15:11:03.016 +02:00 [INF] HTTP GET /notification?id=1ZtEBSjWnpfQZM1zC-6iJg responded 101 in 20469.2779 ms
2019-11-25 15:11:03.276 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.8796 ms
2019-11-25 15:11:03.432 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.8384 ms
2019-11-25 15:11:03.457 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.8622 ms
2019-11-25 15:11:04.750 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 34.3122 ms
2019-11-25 15:11:09.367 +02:00 [INF] Status of email with id 35f43ced-3818-4c5e-bde7-ac4203159861 has been updated by d3bcd816-cf83-4740-acfe-51a6d2d944c6 at 25.11.2019 г. 15:11:09. From status: Open to status: Closed.
2019-11-25 15:11:09.374 +02:00 [INF] HTTP GET /Application/ChangeStatusAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861&appStatus=Accepted responded 200 in 40.8166 ms
2019-11-25 15:11:09.433 +02:00 [INF] HTTP GET /Email/ListEmailsAsync?emailStatus=Closed responded 200 in 27.4223 ms
2019-11-25 15:11:09.468 +02:00 [INF] HTTP GET /notification?id=cMAiR5p4-FGPI4KvWneqnQ responded 101 in 6176.9665 ms
2019-11-25 15:11:09.767 +02:00 [INF] HTTP POST /notification/negotiate responded 200 in 0.4702 ms
2019-11-25 15:11:09.915 +02:00 [INF] HTTP GET /Email/images/icons/favicon.ico responded 302 in 0.9737 ms
2019-11-25 15:11:09.940 +02:00 [INF] HTTP GET /Home/PageNotFound responded 200 in 1.2445 ms
2019-11-25 15:11:11.693 +02:00 [INF] HTTP GET /Email/IsItOpenAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 33.2279 ms
2019-11-25 15:16:49.643 +02:00 [INF] HTTP GET /Email/SetToEnableAsync?id=35f43ced-3818-4c5e-bde7-ac4203159861 responded 200 in 66.273 ms
2019-11-25 15:17:07.474 +02:00 [INF] Application starting up!
2019-11-25 15:17:09.657 +02:00 [WRN] Failed to determine the https port for redirect.
2019-11-25 15:17:09.941 +02:00 [INF] HTTP GET / responded 302 in 176.3906 ms
